"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","75","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testUpdateMembershipType_Success",""
"passed","","","78","","IntegrationTests","","IntegrationTests.TrainerRepositoryCreateITCase","","testCreateTrainer_DublicateUserId",""
"passed","","","101","","IntegrationTests","","IntegrationTests.AttendanceRepositoryDeleteITCase","","testDeleteAttendance_Success",""
"passed","","","86","","IntegrationTests","","IntegrationTests.MembershipRepositoryCreateITCase","","testCreateMembership_DuplicateId",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryCreateITCase","","testCreateTrainingRoom_DublicateId",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryUpdateITCase","","testUpdateTrainingRoom_NotFound",""
"passed","","","20","","UnitTests","","UnitTests.UserServiceTests","","testDeleteUser_UserNotFound",""
"passed","","","91","","UnitTests","","UnitTests.UserRepositoryTests","","testUpdateUser_Success",""
"passed","","","39","","UnitTests","","UnitTests.TrainerServiceTests","","testUpdateTrainer_Success",""
"passed","","","74","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testUpdateUser_PhoneNumberAlreadyExists",""
"passed","","","44","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testCreateMembershipType_NameAlreadyExists",""
"passed","","","67","","IntegrationTests","","IntegrationTests.UserRepositoryUpdateITCase","","testUpdateUser_UserNotFound",""
